Id,Date Posted,Product Title,Price,Area,Price per m²,calc price,Bedrooms,Toilets,Location,Coordinates
42261951,28/02/2025,"Chính chủ cần bán căn góc 2PN-74M2, tầng trung view thoáng giá hợp lý cc Anland lakeview,O975645309",4.5,75.0,60.0,0.0,N/A,N/A,"Dương Nội, Hà Đông","20.983290034782396, 105.75676904606915"
40060309,28/02/2025,"Quỹ căn hộ 2PN - 3PN - 4PN chung cư Terra An Hưng giá rẻ nhất từ 4. X tỷ, LH 0975 645 ***",4.8,74.0,64.86,0.0,2,2,"Dương Nội, Hà Đông","20.97276496887207, 105.75669860839844"
42289674,28/02/2025,"CỰC HIẾM CĂN HỘ 4 NGỦ 153M2 KHU DƯƠNG NỘI, HÀ ĐÔNG GIÁ 6,7 TỶ. Lh :0382 083 ***",6.7,159.0,42.14,0.0,4,3,"Dương Nội, Hà Đông","20.98082090322582, 105.75448048640835"
39568750,28/02/2025,"Quỹ căn độc quyền, ngoại giao giá tốt nhất dự án Paragon Duy Tân, diện tích 80m2 - 140m2.",-1.0,80.0,0.0,1.0,N/A,N/A,"Dịch Vọng Hậu, Cầu Giấy","21.031177520752, 105.789398193359"
42192887,28/02/2025,Chính chủ cần tiền bán căn hộ chung cư Hà Nội Paragon Cầu Giấy diện tích 138m2,-1.0,138.0,0.0,1.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.03071694923136, 105.79006621241545"
42193070,28/02/2025,"Tôi cần bán lại căn hộ 145m2 tại chung cư IPH đường Xuân Thuỷ, Cầu Giấy, LH 0911 120 ***",-1.0,145.0,0.0,1.0,3,3,"Dịch Vọng Hậu, Cầu Giấy","21.0352827003141, 105.782721637819"
42191330,28/02/2025,"Chung cư vip mặt đường Phạm Văn Đồng -DT 70m2, 2 ngủ, 2wc. Nhỉnh 4 tỷ",-1.0,70.0,0.0,1.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.04397159811374, 105.78141260487241"
42291999,28/02/2025,"Bán CC Hà Nội Paragon, 140m2, 3PN, 2WC, tại Dịch Vọng Hậu, Cầu Giấy, Hà Nội",-1.0,140.0,0.0,1.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.031050835794016, 105.78992921610279"
41999537,28/02/2025,"Bán căn hộ Hồ Tùng Mậu - Xuân Thuỷ 1PN*35m, full nội thất , ở ngay",1.35,35.0,38.57,0.0,1,1,"Dịch Vọng Hậu, Cầu Giấy","21.0366120028985, 105.780057031432"
41979590,28/02/2025,"Tôi chính chủ cần bán căn hộ tại Bắc Hà Lucky để về gần bố mẹ, dt 55m2, đủ đồ, sổ sẵn, chỉ 3 tỷ 4",3.5,55.0,63.64,0.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.044173752520262, 105.78138370471069"
42194851,28/02/2025,Bán gấp căn hộ chung cư Bắc Hà Lucky 30 Phạm Văn Đồng - 2PN (65m2) - giá chỉ 4 tỷ 150 - Sổ sẵn sàng,4.15,65.0,63.85,0.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.043340702269557, 105.78075323976931"
42300374,28/02/2025,Nhỉnh 4 tỷ! Chung cư Tây Mỗ - 72m2 - 2 ngủ - 2 thoáng - nội thất cao cấp (HHCG36166),4.42,72.0,61.39,0.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.0367685557228, 105.786132755076"
42296591,28/02/2025,"Bán CH dự án 173 Xuân Thuỷ, diện tích 90,8m2 thiết kế 3 ngủ giá 6 tỷ bao phí sang tên, có slot ô tô",6.0,90.8,66.08,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.035902170643293, 105.78557850564918"
42295677,28/02/2025,Bán căn 90.8m2 3 ngủ toà Rivera park 173 Xuân Thuỷ có slot ô tô hơn 6 tỷ,6.0,90.8,66.08,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.03627284268921, 105.78488399292749"
41109252,28/02/2025,"Chính chủ bán căn 3 ngủ 173 Xuân Thủy, Cầu Giấy, Hà Nội, DT 110 m2 giá 6,6 tỷ, sẵn sổ full nội thất",6.6,110.0,60.0,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.0362396240234, 105.785377502441"
42290359,28/02/2025,"Bán CC 2PN, 91m2 tại 173 Xuân Thủy, Cầu Giấy, 6,8 tỷ, đẹp, nhiều tiện ích",6.8,91.0,74.72,0.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.036335747945937, 105.78603336556898"
42296447,28/02/2025,"Mipec Rubik 360, chính chủ rao bán căn hộ 77m2",7.7,77.0,100.0,0.0,2,2,"Dịch Vọng Hậu, Cầu Giấy","21.037548926923794, 105.78635884218907"
